RegionID,RegionName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04
3136,Santa Clara,CA,San Jose,6,85,17,272800,273700,274700,275900,277100,278400,280000,281700,283900,286400,289000,291800,295300,299300,303900,308700,313700,318700,323800,328700,333800,338800,343300,347300,351200,354900,358500,361700,364700,367200,369300,371100,372900,374700,376700,378700,381300,384800,389400,395300,402500,411000,420800,431800,444100,457300,470500,483700,496900,509200,520500,530500,539100,546200,552100,556900,560500,563100,564200,563900,562300,559600,556200,552200,547900,543500,539300,535500,532800,531800,532600,535100,539000,543900,549200,554400,558900,562500,565200,566900,567400,567400,566900,565800,563800,561800,560400,560100,561200,563800,567900,573100,579500,586600,594400,603100,612600,622700,633000,643400,653600,663900,674800,686200,698100,709900,721300,732400,742900,752200,760500,767700,773500,778100,781700,784500,786700,788000,788100,787400,786300,785700,785700,785900,786400,787300,788500,789800,792000,794500,796300,796800,796300,795300,794300,792700,790500,787300,782700,777300,772000,766400,760100,752800,744500,736100,728000,719800,712000,704900,697800,691300,686100,681000,674200,664800,653800,642800,634400,630400,630400,632300,634600,637700,641500,647400,649600,649100,652200,657000,656600,653600,650300,648300,647000,643300,637800,631000,625100,623300,622000,621000,620700,620100,618600,617200,616900,617300,613600,609400,613500,623600,632400,639700,650300,663500,676000,684300,692300,700800,710000,717700,725800,734300,745500,759700,774200,784300,789800,793900,796600,799600,805500,813800,821400,827600,834500,840500,845000,851100,859200,867100,875300,884300,893800,904000,914900,924300,934900,950400,966500,977500,986500,994600,999100,1000800,1003300,1009300,1016300,1022000,1028700,1035900,1040900,1044500,1047500,1050500,1054500,1061700,1073700,1089000,1100900,1109000,1116200,1126300,1139800,1158300,1180400,1206500,1236900,1270400,1300400,1324000,1348800,1379700,1400300
1510,Alameda,CA,San Francisco,6,1,22,202900,202700,202500,202500,202700,203100,203700,204500,205700,207200,208500,209700,211000,212500,214200,216100,218200,220400,222800,225300,228000,230900,233500,235800,237900,240000,242100,244000,245900,247600,249200,250900,253000,255300,257500,259500,261700,264100,266900,270400,274600,279800,286000,292900,300800,309200,317900,326800,335900,344700,352800,360200,366500,371900,376500,380500,384100,387300,390400,393200,395900,398300,400400,402000,403100,403500,403400,402800,402000,401500,401500,402100,403600,406300,409900,414300,419000,423700,428200,432300,435900,439000,441700,444200,446200,447800,449200,450600,452400,455100,458900,463700,469400,475800,482700,490400,498600,507200,516400,526100,536100,546400,557000,567600,578400,589200,599700,610000,620100,629200,636900,643300,648100,651800,654500,656100,656900,657500,657800,657800,657300,656200,654800,653100,651100,649100,647300,645500,644400,644100,643400,641900,639600,636200,631700,626200,619400,611900,604100,595900,587400,578800,568800,558200,547900,538500,529600,522100,515700,510600,506200,502100,498200,495000,490500,484800,478400,471700,465400,461800,460400,461400,463800,466700,469500,472400,473200,471600,470500,472500,474400,473200,471000,467300,463700,460000,454900,447700,443600,440500,436300,430700,427700,426900,427500,425400,421600,419200,419400,419500,420700,423400,426700,430300,434400,440000,446500,454400,462600,469700,475400,481800,490500,502800,519000,536300,551700,562400,570500,577700,584000,588300,591500,595800,600900,607400,613300,618400,622600,627700,632300,636800,642000,647600,652000,657900,666400,675500,683800,692500,701100,708000,714900,722200,726000,729300,735200,741400,744900,747800,751200,755800,757800,760000,761700,763900,767300,772200,778200,787300,793600,794800,797300,804400,814400,822200,827500,834600,845500,856800,869000,880000,890300,902600,909900
3159,Contra Costa,CA,San Francisco,6,13,37,193600,192300,191100,190100,189400,189100,189400,190400,192100,194400,196800,198900,200900,202500,204000,205200,206400,207600,208900,210300,211800,213200,214600,215800,217000,218300,219700,220900,221700,222200,222200,222100,222100,222300,223100,224400,226400,229200,232500,236300,240300,244500,249000,253800,258800,264000,269000,274000,279100,284200,289300,294600,300000,305500,311100,316700,322300,327700,332700,337200,341200,344500,347200,349500,351600,353700,356000,358400,360800,363400,366100,368600,371100,373600,376400,379500,382900,386500,390300,394200,398000,401600,404900,408300,411800,415700,419900,424600,429400,434000,438100,441400,444800,448900,454500,461900,470900,481000,492100,503100,512900,521700,530100,538800,548800,560100,572300,585600,599300,612200,623600,632300,638000,641500,643400,643800,642900,641200,638600,635500,631600,627300,622600,617000,611300,607700,607600,609600,611800,611300,606900,599600,591400,583700,577300,571300,564800,557800,550100,541500,532700,523800,514900,504600,491500,475900,459000,444600,434500,426600,418400,410500,403000,395800,388900,382200,375500,368600,363100,360000,358700,357800,357600,357600,357600,357800,358000,358700,360900,363400,365200,366400,365600,363400,360500,356600,351100,346400,342600,338300,333900,331200,328800,326000,323400,320200,316700,314000,312900,312300,312800,314700,317200,320500,324400,327700,331700,337000,342300,347500,352900,359100,366200,374100,382900,392100,400900,408900,416200,422900,429500,435900,442300,447800,451600,454700,457700,460400,463000,465800,468600,471600,476100,481400,486300,490700,496000,501300,506000,511300,517700,523100,527500,531500,534700,537700,541200,544300,546600,549100,552300,556800,561700,566000,569700,573900,578300,582500,586300,590100,593700,596500,599200,602200,605200,608900,613000,616600,619500,622000,625500,629600,634900,642400,648800
3227,San Francisco,CA,San Francisco,6,75,66,264500,264500,264500,264600,264900,265600,266600,267900,269900,272300,274900,277600,280700,284000,287500,291100,294900,298700,302600,306500,310600,314800,318700,322600,326500,330600,334600,338400,342100,345300,348300,351000,353700,356400,359000,361800,365200,369300,374400,380600,387900,396200,405700,416400,428000,439900,451500,462300,472400,481200,488700,494800,499500,503200,506300,509200,512000,514500,516300,517500,518000,518100,518400,518800,519400,520200,521300,522800,524600,527000,530300,534500,539700,545800,552600,559400,565600,570700,574600,577500,579400,581100,583000,584600,585700,586400,587700,590100,593900,599600,607300,617000,628700,641600,654500,667500,680500,693300,705800,718100,729900,741200,752100,762100,771300,779600,786800,793300,799000,804000,808200,811400,813600,815000,815500,814500,811800,808000,803900,800200,797700,796800,797000,797500,797500,796900,796300,796000,797300,800600,805600,811500,817700,823300,828000,831300,832600,831700,828800,824500,819400,814300,809300,803800,797600,791200,784500,777900,771600,765500,759400,754000,749600,746000,741300,734300,725900,717500,711000,707400,706300,706800,708700,711700,717600,723200,723700,723900,727000,730500,730400,727100,722900,719700,716800,715200,711400,704100,697900,692300,685600,678700,672700,668400,666600,666700,668500,670700,671800,673700,678700,684400,689600,695500,704400,714500,724700,735400,747000,755500,762300,769600,778500,791300,808200,823800,837300,850500,862400,869500,871900,875200,883000,893200,902800,908800,915600,926300,937900,946600,954200,960800,969300,978400,984000,990700,1003500,1022700,1039800,1055900,1072100,1090000,1105200,1118000,1127300,1135500,1141600,1149100,1157300,1160800,1160000,1160900,1163300,1164300,1167600,1176500,1185700,1195500,1208500,1222000,1232500,1242400,1253500,1268800,1285300,1298700,1310100,1323500,1339300,1350000,1356400,1360700,1367400,1380800,1392800
2842,San Mateo,CA,San Francisco,6,81,82,302200,301700,301100,300700,300600,301000,301800,303300,305300,307900,310800,314000,317700,321700,326200,330800,335600,340400,345200,349900,354700,359200,363100,366500,369600,372600,375500,378400,381200,384000,386800,389600,392600,395800,399200,402900,407300,412500,418700,426000,434200,443200,453000,463300,474300,485400,496400,507100,517600,527700,536900,545000,552000,557900,562900,567300,571000,573700,575300,575500,574300,572200,569500,566500,563500,560700,558200,556400,555300,555400,557100,560600,565700,572100,579300,586700,593300,598900,603400,606800,609100,610900,612300,613400,614100,614700,615500,617100,619900,624100,629700,636800,645600,655600,666200,677200,688100,698600,709100,719700,730100,740500,751300,762300,773600,784100,793300,801700,809800,817700,824900,831000,835900,840000,843300,845400,846300,846700,846700,846200,844900,843300,841700,840000,838300,837300,837200,837900,840000,843600,847600,850600,852600,854100,855100,854800,853400,851100,847100,840400,831100,821500,812800,804500,796800,790300,784600,778200,771200,765000,759800,754600,749600,745100,739900,732200,722900,713500,706400,702700,701800,702400,704100,706300,709100,712300,713600,714400,714100,713000,710200,709200,709300,706300,699500,694800,693200,688900,682000,677800,678000,677400,675400,673800,671900,669500,668700,670600,671200,669300,669300,673000,678400,687200,698800,707800,714700,724000,734000,741100,748300,758600,774500,790300,805200,819000,831800,840700,847700,854800,863100,868600,873400,881500,888300,893100,899500,906400,912700,920900,931500,943500,955600,967800,979900,992100,1006300,1021400,1039300,1060700,1081900,1101200,1120200,1134900,1145800,1152400,1152600,1157600,1169700,1179900,1184400,1190000,1197300,1205700,1209700,1211600,1215300,1224000,1231700,1240000,1249900,1261800,1271800,1281900,1290300,1301900,1320400,1340900,1362200,1389500,1422200,1447300,1464800,1482100,1492900
1396,Sonoma,CA,Santa Rosa,6,97,137,199700,199400,198900,198400,197900,197400,197200,197200,197500,198200,198800,199400,200000,200800,201700,202700,203900,205200,206800,208600,210800,213300,215500,217400,219200,221000,222600,224100,225500,226900,228400,229900,231600,233600,235700,237800,240300,243300,246600,250300,254300,258500,263100,268200,274000,280300,286700,293000,299200,305400,311300,317100,322700,328100,333200,338000,342300,346200,349700,352800,355600,358100,360400,362500,364500,366200,367800,369200,370400,371600,372800,374100,375400,377100,379200,381800,384700,388200,392200,396600,401500,406300,411100,416000,420700,425000,429400,434100,438900,443900,449000,454200,459500,465200,471200,477900,485200,492900,501100,509600,517900,526000,534300,542900,552100,561300,569900,578500,587300,595400,602700,608800,613500,616900,619200,620200,620100,619100,617500,615800,614000,611500,608300,604600,600300,595800,591200,586500,581900,577800,574000,570700,567500,563700,558700,552800,545800,537900,529500,520600,511500,502500,493300,484200,475500,467000,459200,453200,448400,444300,440200,436500,433200,430400,427200,423900,420300,415900,411300,408300,406900,406400,406000,405700,406000,406600,407500,405800,401900,399900,400400,399600,398100,396400,394100,392200,389400,385500,380600,375300,370400,366800,363000,357700,353700,350300,347400,344600,343600,343300,344500,347400,351800,356000,358700,361100,363400,367000,372800,380000,385400,389500,394000,401100,409700,416900,424300,433900,441100,445800,449900,452800,454700,458700,464300,468400,471400,475400,479500,483500,488400,493100,496500,499600,502600,505300,508000,510700,514200,519500,527000,534400,539900,543200,545400,548900,552800,556500,560600,564900,567700,569800,572800,576000,579300,584500,590400,594500,599200,604100,606600,609500,614700,619500,622300,624500,628500,633900,638700,643400,649700,655800,661100,666800,671100
1395,Solano,CA,Vallejo,6,95,162,149300,148900,148500,148100,147700,147500,147300,147300,147500,147800,148100,148400,148700,149000,149300,149600,149800,150100,150400,150800,151600,152500,153400,154200,155100,156100,157100,158000,159000,159900,160900,161900,163200,164500,165700,166900,168100,169400,170900,172600,174600,176800,179400,182300,185500,189000,192300,195400,198500,201700,205100,208600,212200,215900,219600,223300,227100,230800,234500,238100,241600,244900,248100,251000,253600,256000,258300,260600,262700,264800,266700,268400,270100,271900,273900,276000,278500,281300,284500,288000,292000,296200,300600,305300,310100,314900,319600,324100,328400,332800,337300,341900,346600,351200,355700,360400,365700,371600,378100,385100,392100,399300,406600,413600,420600,427300,433900,440900,448700,456600,464100,470600,475700,479400,482200,484100,485700,487500,489300,491500,493600,494700,494200,491700,487300,482000,476400,470600,465600,461500,457900,454600,451500,448100,443800,438400,431700,424100,415800,406500,396000,384700,372100,357900,342800,328600,316300,307000,300000,293700,287500,281900,276800,271900,266700,261300,255900,250900,246100,242100,239000,236800,235600,235400,235900,236500,237000,235600,233600,232500,232200,231800,231300,229500,227500,226200,223400,219000,215600,214600,214100,211700,208900,205400,202500,201600,201100,199100,197500,197700,199000,201200,203100,204900,206100,207400,209500,212200,214400,216800,220400,225100,230000,234400,239700,246000,252400,258900,264900,270800,277400,283000,286700,289700,292100,294800,298400,302500,308100,314000,318200,319600,320000,321400,324400,327000,329300,331900,335100,338700,341400,342600,343100,344300,346400,349500,352500,354700,356000,357200,359600,363600,368300,373000,378000,382100,385400,389300,392700,395900,399000,401500,402800,404600,406100,408100,411000,413500,415100,417600,421300,425100,428500,431600,433800
625,Marin,CA,San Francisco,6,41,253,333700,333400,333100,332700,332300,332100,332000,332200,332900,334000,335100,336300,338000,340200,343100,346500,350200,354100,358200,362300,366600,370900,374600,377800,380900,383900,386800,389800,392900,396000,399100,402300,405800,409500,413100,416700,420600,425100,430100,435900,442300,449700,458100,467800,478800,490500,502100,513200,523800,533600,542600,550700,557900,564400,570400,575900,581100,585800,589700,592600,594600,596000,597000,597800,598500,599200,600100,601100,602100,603300,604900,607000,609900,613800,618600,624000,629300,634300,639000,643300,647100,650500,653100,654800,655500,655800,656400,658000,660800,664700,669600,675400,682400,690700,700000,710700,722300,733900,745100,755400,765000,774400,784000,793300,802400,811200,819700,828400,837300,845700,853500,860000,864900,868000,869600,869700,868500,866900,865600,865000,864300,862900,861000,859000,857200,856100,855400,855100,855100,855000,854100,852400,850300,848700,848500,849400,850300,849900,847400,841700,834100,826300,820100,814900,808800,801700,794500,787400,780700,774900,769900,764900,759800,754700,749600,743300,735100,725500,716600,709800,705300,702400,700700,700600,699800,700400,703300,705700,708600,714100,717600,717200,714300,709100,701600,695100,692200,688800,680900,672800,668600,666100,663300,659700,654800,650700,651000,652700,653200,654300,656000,657400,659600,664300,670900,679800,690700,701100,708300,715300,724300,734100,744300,755600,766100,773700,782100,792400,801100,807900,814100,820400,827000,830600,832700,837100,840600,842000,845400,850500,857500,867500,878600,886300,890300,895700,905700,916300,926400,936100,943600,946400,947800,949800,952500,957600,963900,968900,968400,964000,961600,966700,972600,977900,984900,991700,995500,996600,998100,1003100,1011000,1018100,1024100,1030300,1036100,1041300,1044100,1047000,1055000,1067000,1075900,1081800,1093100,1111800,1125600
255,Napa,CA,Napa,6,55,439,185100,186400,187600,188700,189700,190500,191300,192000,193100,194500,195800,196700,197800,198800,200000,201300,202500,203600,204800,205800,206900,208100,208600,208500,208200,207800,207400,207100,207000,207100,207600,208500,210200,212700,215400,218500,222000,226000,230300,234900,239700,244800,250100,255800,261900,268200,274200,279800,285200,290500,295600,300500,305200,309800,314200,318400,322700,327000,331100,335000,339100,343000,346700,350100,353200,356100,359200,362300,365500,369000,372700,376700,381100,385700,390700,396100,401700,407700,413900,420600,427600,434300,440800,447100,453100,458800,464600,470900,477800,485300,492600,499300,505200,510700,515900,521100,526500,532500,539800,548200,557100,566100,575300,584400,593800,603200,612100,621400,631300,640700,649000,655600,659900,662900,664700,665200,664900,664000,662600,661600,660700,658700,655600,652000,648300,645400,642900,639900,637800,636700,635600,635000,634300,631400,626400,620200,613500,606400,597500,586900,577500,570500,564000,558000,551600,542600,531200,520800,513800,509400,504000,496800,490300,485500,480800,476200,470900,463400,454900,447300,441500,437300,433000,428100,424600,424200,427100,423800,413900,406500,404400,403300,402400,399100,398000,400800,400400,394300,385700,378500,372300,370700,373900,378100,378000,375300,374600,377800,378700,375200,372100,372800,379200,388000,393800,395500,394200,392400,392000,393500,397300,404100,411400,419200,428300,436500,443600,451800,461700,470900,476800,480400,484400,486700,486600,489900,496400,501200,503200,506300,512300,520900,527300,529600,533600,540200,545200,548900,553200,556900,558700,559300,560400,563700,567800,571100,574300,579600,585000,588100,589800,593000,598300,603500,609000,615200,619600,621400,623900,629400,636600,641600,642400,640900,638200,636700,639500,645100,649600,651200,652500,655700,662700,671500,676200
